ID,Question,정답
TEST_238,"전자서명법 제16조에 따르면, 과학기술정보통신부장관이 전자서명인증사업자에게 검사를 실시하기 위해 필요한 절차로 옳은 것은?
1 검사 5일 전까지 검사계획을 통보해야 한다.
2 검사 10일 전까지 검사계획을 통보해야 한다.
3 검사 7일 전까지 검사계획을 통보해야 한다.
4 검사 3일 전까지 검사계획을 통보해야 한다.",3
TEST_027,"서버 접근통제 시스템의 주요 기능으로 옳지 않은 것은?
1 명령어 통제
2 실시간 모니터링
3 서버 하드웨어 장애 자동 복구
4 데이터 전송 속도 최적화
5 사용자별 시스템 접근 권한 통제",3
TEST_203,"정보통신망법 제44조의5에 따라 게시판 이용자의 본인 확인을 위한 조치를 해야 하는 기관은?
1 외국 정부 기관
2 금융감독원 등록 민간 보안업체
3 민간 기업
4 국가기관
5 개인 사업자",4
TEST_429,"클라우드컴퓨팅서비스 보안인증(CSAP)의 등급제에서 '하' 등급의 주요 특징은 무엇인가?
1 외부 보안 감사를 연 2회 이상 의무적으로 실시
2 클라우드 서비스 제공자 자율 보안
3 모든 정보에 대해 상등급 보안 적용
4 물리적 망분리만 허용
5 논리적 망분리 허용",5
TEST_225,"다음 중 DB 접근통제의 주요 기능에 해당하는 것은?
1 데이터 암호화
2 비인가 접속 차단
3 네트워크 방화벽 설정
4 데이터 백업",2
TEST_459,"시스템 및 서비스 보안관리에서 '악성코드 통제'의 주요 목적은 무엇인가?
1 시스템 성능 최적화
2 사용자 편의성 증대
3 정보 유출 방지
4 데이터베이스 관리",3
TEST_284,"다음 중 정보통신망의 표준화 및 인증에 관한 규정으로 옳지 않은 것은?
1 인증을 받은 자는 제품이 표준에 적합한 것임을 나타내는 표시를 할 수 있다.
2 과학기술정보통신부장관은 표준화의 대상, 방법, 절차를 대통령령으로 정한다.
3 표준에 부적합한 제품도 임시적으로 인증 표시를 부착할 수 있다.
4 인증을 받지 않은 자는 표준에 적합한 것임을 나타내는 표시를 할 수 없다.
5 인증을 받은 경우, 제품을 판매할 목적으로 진열할 수 있다.",3
TEST_006,"개인정보보호법 제22조의2에 따라 만 14세 미만 아동의 개인정보를 처리하기 위해 필요한 절차로 옳은 것은?
1 아동의 학교의 동의를 받아야 한다.
2 법정대리인의 동의를 받아야 한다.
3 아동 본인의 동의만 받으면 된다.
4 아동의 친구의 동의를 받아야 한다.",2
TEST_163,"보험업권에서 제3보험상품에 해당하는 것은?
1 상해보험
2 생명보험
3 연금보험
4 손해보험",1
TEST_348,"전자서명의 이용 촉진을 위해 과학기술정보통신부장관이 제공할 수 있는 지원에 해당하지 않는 것은?
1 정보보호 인증 지원
2 행정적 지원
3 재정적 지원
4 법적 지원
5 기술적 지원",4
TEST_159,"집적된 정보통신시설의 보호와 관련하여 정보통신서비스 제공의 중단이 발생했을 때, 과학기술정보통신부장관에게 보고해야 하는 사항으로 옳지 않은 것은?
1 정보통신서비스 제공의 중단이 발생한 일시 및 장소
2 정보통신서비스 제공의 중단이 발생한 원인에 대한 법적 책임
3 정보통신서비스 제공의 중단이 발생한 원인 및 피해내용
4 응급조치 사항",2
TEST_220,"전자금융거래법 제33조에 따르면, 허가ㆍ등록 및 인가를 신청하고자 하는 자는 어디에 신청서를 제출해야 하는가?
1 금융감독원
2 국세청
3 법무부
4 금융위원회",4
TEST_344,"비밀유지명령의 취소 신청에 대한 설명으로 옳지 않은 것은?
1 비밀유지명령의 취소 신청에 대한 재판은 즉시항고가 가능하다.
2 비밀유지명령의 취소 신청은 반드시 비밀유지명령이 내려진 즉시 이루어져야 한다.
3 비밀유지명령을 신청한 자만 취소를 신청할 수 있다.
4 비밀유지명령의 취소 신청은 소송기록을 보관하고 있는 법원에 해야 한다.
5 비밀유지명령의 취소 신청은 비밀유지명령을 받은 자도 할 수 있다.",2
TEST_094,"다음 중 '비밀번호 관리'에 대한 설명으로 가장 적절한 것은?
1 비밀번호는 초기 설정 후 변경할 필요가 없다.
2 비밀번호는 영문, 숫자, 특수문자 중 1종류만 사용해도 된다.
3 비밀번호는 동일한 것을 여러 서비스에서 사용하는 것이 관리에 효율적이다.
4 비밀번호는 종이에 기록하여 보관하는 것이 안전하다.
5 비밀번호는 변경 주기를 설정하여 주기적으로 변경해야 한다.",5
TEST_389,"신용정보의 처리 위탁 시, 위탁자가 수탁자와 연대하여 책임을 지는 경우는?
1 수탁자가 신용정보주체의 동의를 받지 않은 경우
2 수탁자가 신용정보를 해외로 이전한 경우
3 수탁자가 위탁계약을 이행하지 않은 경우
4 수탁자가 법을 위반하여 신용정보주체에게 손해를 가한 경우
5 수탁자가 신용정보를 잘못된 목적으로 사용한 경우",4
TEST_099,"전자서명인증사업자가 인증업무준칙을 작성하여 게시해야 하는 이유로 가장 적절한 것은?
1 인증서 유통 경로의 다양성 확보
2 전자서명 기술의 발전 촉진
3 고객의 개인정보 보호 강화
4 인증서 발급 비용 절감
5 전자서명인증서비스의 신뢰성 확보",5
TEST_367,"분쟁조정위원회가 분쟁조정 신청을 받았을 때, 상대방에게 알려야 하는 내용은 무엇인가?
1 분쟁조정위원회의 구성
2 분쟁조정 결과
3 분쟁조정 신청 내용
4 분쟁조정 절차의 예상 소요 기간
5 분쟁조정 신청자의 신원",3
TEST_352,"정보통신망법 제44조의3에 따라 정보통신서비스 제공자가 임의로 임시조치를 할 수 있는 경우는?
1 정보가 상업적 광고로 판단될 때
2 정보가 시스템 장애나 서비스 지연을 유발할 가능성이 있을 때
3 정보가 청소년유해정보로 판단될 때
4 정보가 사생활 침해 또는 명예훼손 등 타인의 권리를 침해한다고 인정될 때
5 정보가 불법정보로 판단될 때",4
TEST_270,"전자금융의 발전 과정에서 나타난 변화로 옳지 않은 것은?
1 국제 웹 표준이 적용되었다.
2 금융소비자의 직접 대면 거래가 증가하였다.
3 공인인증서 의무사용이 폐지되었다.
4 금융업종간 장벽이 허물어졌다.",2
TEST_044,"개인정보보호법 제64조의2에 따라 과징금을 부과받은 금융기관이 과징금을 납부한 후, 보호위원회에 통보해야 하는 시점은 언제인가?
1 과징금을 납부한 다음 달 말일까지
2 과징금을 납부한 다음 분기 말일까지
3 과징금을 납부한 다음 해 말일까지
4 과징금을 납부한 즉시
5 과징금 부과 사실을 분기별로 일괄 통보할 때",4
TEST_470,"정보통신망 이용촉진 및 정보보호 등에 관한 법률(정보통신망법)의 목적에 해당하는 것은?
1 정보통신서비스 이용자의 권리 제한
2 개인정보 보호법의 적용 면제
3 금융기관의 정보보호 의무를 전적으로 면제
4 정보통신망의 불법 사용 촉진
5 정보통신망의 안전한 이용 환경 조성",5
TEST_127,"다음 중 Linux 운영체제에서 파일 권한 설정을 확인하는 명령어는 무엇인가?
1 netstat -an
2 chown
3 ps -aux
4 chmod
5 ls -l",5
TEST_387,"FTP 보안에서 사용되는 기술로 적절하지 않은 것은?
1 SSL/TLS
2 HTTP
3 FTPS
4 SFTP",2
TEST_080,"신용조사회사의 임직원이 신용정보를 조사할 때 지켜야 할 사항으로 옳은 것은?
1 조사 대상자의 동의 없이 신용정보를 외부 기관에 제공할 수 있다.
2 조사 대상자에게 신용조사회사의 명함을 제공해야 한다.
3 조사 대상자에게 조사 자료의 제공을 요구해야 한다.
4 조사 대상자에게 조사 결과를 즉시 통보해야 한다.
5 신용조사업에 종사하고 있음을 나타내는 증표를 지니고 상대방에게 내보여야 한다.",5
TEST_300,"금융보안 위험관리가 효과적으로 운영되기 위해 필요한 요소로 가장 적절한 것은?
1 금융보안원의 독립적인 운영
2 금융감독원의 단독 관리
3 금융회사의 최고경영자의 책임감과 참여
4 금융회사의 모든 부서의 독립적 운영",3
TEST_370,"전자금융거래법 제15조에 따라 추심이체의 출금 동의를 받는 방법으로 적절한 것은?
1 수취인이 지급인으로부터 서면으로 동의를 받아 금융회사에 전달하는 방법
2 금융회사가 지급인으로부터 구두로 동의를 받는 방법
3 수취인이 지급인으로부터 구두로 동의를 받아 전자금융업자에게 전달하는 방법
4 전자금융업자가 지급인에게 이메일로 동의를 요청하는 방법
5 전자금융업자가 지급인으로부터 문자메시지(SMS)로 동의를 받아 수취인에게 전달하는 방법",1
TEST_196,"다음 중 분산 서비스 거부(DDoS) 공격의 유형별 동작원리와 특징에 대한 설명으로 가장 적절한 것은?
1 DDoS 공격은 주로 네트워크의 취약점을 이용하여 데이터를 탈취하는 것을 목적으로 한다.
2 DDoS 공격은 여러 시스템을 이용하여 동시에 공격을 수행하여 대상 서버의 자원을 소모시킨다.
3 DDoS 공격은 단일 시스템에서 발생하며, 네트워크 트래픽을 증가시켜 서버를 마비시킨다.
4 DDoS 공격은 방화벽을 우회하지 못하며, 항상 정상적인 사용자 요청만을 차단하는 것이 특징이다.
5 DDoS 공격은 주로 악성 코드를 통해 시스템 내부에서 발생하는 공격이다.",2
TEST_071,"메일 서비스에서 POP와 IMAP 프로토콜의 공통된 기능은 무엇인가?
1 메일 전송 경로의 암호화
2 메일 발신자의 신원 확인
3 사용자 기반의 메일 수신
4 메일 서버 간의 메일 전송",3
TEST_046,"아동의 개인정보 처리와 관련하여 법정대리인의 동의를 받기 위해 수집할 수 있는 정보로 옳은 것은?
1 아동의 친구 목록
2 아동의 학교 성적
3 법정대리인의 성명 및 연락처
4 법정대리인의 직업 정보",3
TEST_233,"정보통신망법 제44조의8에 따르면, 정보통신서비스 제공자가 만 14세 미만의 아동에게 제공해야 하는 서비스의 특징은 무엇인가?
1 아동에게 제공되는 정보는 반드시 부모의 승인을 받아야 한다.
2 아동의 개인정보를 부모 동의 없이 자유롭게 수집·이용할 수 있다.
3 아동에게 제공되는 정보는 광고가 포함되어야 한다.
4 아동에게 모든 정보를 무제한으로 제공해야 한다.
5 아동에게 부적절한 내용의 정보가 제공되지 않도록 노력해야 한다.",5
TEST_296,"다음 중 한국자산관리공사의 주요 업무가 아닌 것은?
1 기업구조조정업무
2 외환보유액 및 공공기금의 효율적 운용
3 금융회사 부실채권 인수 및 정리
4 국유재산관리 및 체납조세정리",2
TEST_081,"종합신용정보집중기관의 주요 업무로 옳지 않은 것은 무엇인가?
1 개인신용평가회사의 신용정보 제공 의무 이행 실태 조사
2 신용정보공동전산망의 구축 및 유지 관리
3 공공기관으로부터 수집한 신용정보의 집중관리 및 활용
4 금융기관 전체로부터의 신용정보 집중관리 및 활용",1
TEST_103,"전자채권의 등록 및 관리업무를 수행하고자 하는 자가 반드시 해야 할 절차는 무엇인가?
1 금융위원회에 등록
2 금융감독원에 신고
3 국세청에 신고
4 대통령령에 따른 허가",1
TEST_464,"다음 중 Web/App 공격 유형에 해당하지 않는 것은 무엇인가?
1 데이터 백업
2 Buffer Overflow
3 SQL Injection
4 Cross-Site Scripting (XSS)",1
TEST_373,"DNS 보안 취약점 중 ""파밍(pharming)"" 공격에 대한 설명으로 옳은 것은?
1 DNS 서버를 직접 해킹하여 데이터를 삭제하는 공격
2 DNS 서버의 IP 주소를 변경하여 사용자를 가짜 사이트로 유도하는 공격
3 DNS 캐시 데이터를 위조하여 사용자를 가짜 사이트로 유도하는 공격
4 DNS 서버의 트래픽을 차단하여 서비스 거부를 유발하는 공격",3
TEST_166,"개인정보보호법 제39조의3에 의거하여, 법원이 자료 제출 명령을 받은 자가 정당한 이유 없이 명령에 따르지 않을 경우 취할 수 있는 조치는?
1 자료 제출 명령을 취소한다.
2 자료의 기재에 대한 신청인의 주장을 진실한 것으로 인정할 수 있다.
3 자료 제출 명령을 받은 자를 구속한다.
4 자료 제출 명령을 받은 자에게 벌금을 부과한다.",2
TEST_379,"신용정보법 제35조에 의거하여 신용정보주체가 자신의 신용정보 조회를 요청할 경우, 신용정보회사가 부담할 수 있는 비용은 무엇인가?
1 조회 비용 전액
2 조회 비용의 절반
3 조회 비용을 신용정보주체에게 전가할 수 있다
4 조회 비용을 정부가 부담한다",1
TEST_363,"네트워크 주소의 종류 중 공인주소에 대한 설명으로 가장 적절한 것은?
1 인터넷에서 사용되지 않으며, 내부 네트워크에서만 사용된다.
2 공인주소는 내부망의 보안을 강화하기 위해 주기적으로 변경된다.
3 인터넷에서 고유하게 사용되며, 전 세계적으로 유일하다.
4 네트워크 주소 변환(NAT)을 통해 외부에 노출되지 않는다.
5 네트워크 장비 간의 통신을 위해 임시로 할당된다.",3
TEST_214,"보호대책 요구사항'에 따라 정보보호 최고책임자가 수행해야 할 업무로 옳지 않은 것은?
1 정보보호 최고책임자의 임명은 외부 기관에 의해 결정된다.
2 정보보호 계획의 수립·시행 및 개선
3 정보보호 실태와 관행의 정기적인 감사 및 개선
4 정보보호 위험의 식별 평가 및 정보보호 대책 마련
5 정보보호 최고책임자는 정보보호 정책 위반 시 직접 징계 권한을 단독으로 행사한다.",1
TEST_273,"전자서명의 효력에 대한 설명으로 가장 적절한 것은?
1 전자서명은 서명자의 신원을 보장하지 않는다.
2 전자서명은 공인인증기관에서만 발급 가능하다.
3 전자서명은 오프라인 서명과 달리 법적 분쟁 시 증거로 활용될 수 없다.
4 전자서명은 서명자의 실지명의를 확인할 수 있어야 한다.
5 전자서명은 모든 전자문서에 동일한 법적 효력을 가진다.",5
TEST_073,"정보통신망법 제49조의2에 따라 정보통신서비스 제공자가 속이는 행위에 대한 정보를 공유하도록 명령할 수 있는 기관은?
1 과학기술정보통신부장관
2 경찰청장
3 금융감독원장
4 방송통신위원회",4
TEST_175,"개인정보 보호위원회의 위원 구성에 대한 설명으로 옳은 것은?
1 위원은 개인정보 보호와 관련된 경력이 없어도 된다.
2 모든 위원은 국회의 추천을 받아 임명된다.
3 위원은 총 9명으로 구성되며, 상임위원은 2명이다.
4 위원장은 대통령이 직접 임명한다.",3
TEST_167,"다음 중 해외 정보보호 관리체계 인증 및 평가 제도에 해당하지 않는 것은?
1 ISO/IEC 27701
2 ISMS-P
3 ISO/IEC 27001
4 BS10012",2
TEST_473,"다음 중 메일 서비스 공격 유형에 해당하는 것은 무엇인가?
1 버퍼 오버플로우 공격
2 트로이 목마 공격
3 Active Contents 공격
4 서비스거부 공격",3
TEST_388,"정보통신서비스 제공자가 정보 전송 역무 제공을 거부할 수 있는 경우로 적절한 것은?
1 이용자가 광고성 정보의 수신을 원하지 않는 경우
2 광고성 정보의 전송으로 인해 수익이 증가하는 경우
3 광고성 정보의 전송이 법적으로 허용된 경우
4 이용자가 광고성 정보를 수신하기로 동의한 경우",1
TEST_276,"책임감 있는 AI 구현을 위해 금융권에서 활용할 수 있는 기술로 적절한 것은?
1 AI 기반 데이터 분석 도구
2 AI 기반 자동화 시스템
3 AI 기반 고객 서비스 챗봇
4 XAI(설명가능한 인공지능)",4
TEST_224,"다음 중 금융회사 또는 전자금융업자가 책임을 일부 또는 전부 이용자에게 부담시킬 수 있는 경우는?
1 금융회사의 내부 규정 위반으로 인한 사고
2 이용자의 중대한 과실로 인한 사고
3 접근매체의 위조로 인한 사고
4 전자금융거래와 무관한 사고
5 전자금융거래 시스템의 일시적인 장애로 인한 사고",2
TEST_332,"개인정보보호법 제74조에 따르면, 법인의 대표자나 법인 또는 개인의 대리인, 사용인, 그 밖의 종업원이 법인 또는 개인의 업무에 관하여 제70조에 해당하는 위반행위를 한 경우, 법인 또는 개인에게 부과되는 벌금의 최대 금액은 얼마인가?
1 1억원
2 7천만원
3 5천만원 이하의 과태료
4 2억원
5 5천만원",4
TEST_057,"다음 중 개인신용정보의 보유기간에 대한 예외 사항으로 옳지 않은 것은?
1 시장업무규정에서 정하는 기간 중 짧은 기간 이내
2 개인신용정보는 정보주체의 동의가 있으면 무기한으로 보유할 수 있다.
3 영 제15조제4항제3호 및 제6호의 신용정보는 등록사유 발생일부터 5년 이내
4 영 제15조제4항제2호의 신용정보는 해제사유 발생일부터 5년 이내
5 모든 개인신용정보는 금융거래 종료 후 7년 이내에 삭제해야 한다.",2
TEST_234,"금융회사 및 전자금융업자가 외부주문등에 관한 계약을 체결하거나 변경할 때 준수해야 할 기준은 무엇인가?
1 전자금융업자가 정하는 기준
2 금융위원회가 정하는 기준
3 금융감독원이 정하는 기준
4 금융회사가 자체적으로 정하는 기준",2
TEST_323,"신용정보집중관리위원회의 구성에 대한 설명으로 옳은 것은?
1 위원회는 위원장 1명을 포함한 15명 이내의 위원으로 구성된다.
2 위원회는 금융위원회 산하에 설치된다.
3 위원회는 10명 이내의 위원으로 구성된다.
4 위원장은 금융위원회에서 임명한다.",1
TEST_410,"명예훼손 분쟁조정부의 구성에 대한 설명으로 옳은 것은?
1 5명 이하의 위원으로 구성되며, 그중 1명 이상은 변호사 자격이 있는 사람이어야 한다.
2 7명 이하의 위원으로 구성되며, 모든 위원이 변호사 자격이 있어야 한다.
3 3명 이하의 위원으로 구성되며, 변호사 자격이 있는 사람은 포함되지 않는다.
4 10명 이하의 위원으로 구성되며, 변호사 자격은 필요하지 않다.",1
TEST_274,"웹 애플리케이션 보안에서 OWASP Top 10에 포함되지 않는 항목은 무엇인가?
1 데이터베이스 암호화
2 SQL 인젝션
3 보안 서버 설정 오류
4 크로스 사이트 스크립팅",1
TEST_067,"개인정보보호법 제38조에 의하면, 개인정보처리자가 정보주체의 열람등요구에 대해 거절할 경우, 정보주체가 취할 수 있는 조치는 무엇인가?
1 이의 제기
2 다른 개인정보처리자에게 요청
3 법적 소송
4 개인정보처리자 변경",1
TEST_216,"가상랜(VLAN)의 주요 기능으로 옳은 것은?
1 네트워크 패킷의 실시간 모니터링 자동화
2 사용자 인증 강화
3 브로드캐스트 트래픽 제한
4 물리적 네트워크 분리
5 데이터 암호화",3
TEST_322,"다음 중 금융감독원의 역할로 옳지 않은 것은?
1 금융기관에 대한 검사·감독 업무 수행
2 금융관련 주요 사항 심의 및 의결
3 국제협력 및 교류
4 금융소비자의 권익 보호",2
TEST_217,"신용정보법 감독규정 제11조의2에 따라 금융감독원장이 대주주 변경승인 심사와 관련하여 수행할 수 있는 업무로 옳은 것은?
1 대주주 변경승인 신청인의 자격 심사
2 대주주 변경승인 결과의 직접 승인
3 이해관계인 등의 의견 수렴 및 공고
4 대주주 변경승인 심사 결과에 대한 이의신청 접수 및 처리
5 대주주 변경승인 신청서 작성",1
TEST_511,"IPv6 주소 체계의 주요 특징으로 옳지 않은 것은?
1 NAT 필요성 감소
2 브로드캐스트 지원
3 128비트 주소 길이
4 데이터 암호화를 기본적으로 모든 통신에 필수 적용한다.
5 자동 구성 기능",2
TEST_405,"신용정보업 허가와 관련하여 금융위원회가 할 수 있는 조치로 옳지 않은 것은?
1 허가를 받은 후에도 조건을 변경할 수 없다.
2 허가 신청서를 보완 요구할 수 있다.
3 허가 여부를 신청인에게 문서로 통지한다.
4 허가 심사 과정에서 금융위원회는 신용정보업자의 영업범위를 임의로 제한할 수 없다.
5 허가에 조건을 붙일 수 있다.",1
TEST_469,"웹서버 보안에서 Apache 웹 서버의 디렉터리 리스팅을 방지하기 위한 설정으로 적절한 것은?
1 FollowSymLinks 옵션 추가
2 SSL 인증서 적용
3 exec cmd 사용 허용
4 Indexes 옵션 제거",4
TEST_146,"리눅스(유닉스) 서버 보안에서 시스템 설정 단계에서 적용할 수 있는 보호조치 방법으로 옳은 것은?
1 모든 시스템 서비스를 구동 상태로 유지한다.
2 부트 로더에 비밀번호를 설정하지 않는다.
3 디스크 파티셔닝을 통해 사용자의 파일 시스템에 쿼터를 설정한다.
4 모든 소프트웨어를 설치하여 업데이트 빈도를 높인다.
5 루트 계정의 비밀번호를 공용으로 공유하여 접근성을 높인다.",3
TEST_271,"다음 중 전자금융거래 보안관리 통제에 포함되지 않는 것은?
1 의심되는 전자금융거래 모니터링
2 전자금융거래의 모든 데이터를 외부에 공개
3 전자금융시스템의 보안취약점 평가
4 전자금융서비스 개발 시 보안위협 사전 평가",2
TEST_252,"전자금융업무의 폐지를 위해 필요한 조건으로 옳지 않은 것은?
1 관계 법령에 따른 절차이행에 하자가 있을 것
2 해당 금융회사의 경영 및 재무상태 등에 비추어 부득이한 사정이 있을 것
3 전자화폐 이용자 및 가맹점 보호와 신용질서유지에 지장을 주지 않을 것
4 금융위원회의 인가를 받을 것",1
TEST_269,"다음 중 전자금융거래 보안에서 거래 보안기술에 해당하지 않는 것은?
1 데이터 압축 기술
2 이용자 입력데이터 보호
3 단말기 영역 보호
4 이용자 인증보안
5 트랜잭션 데이터 백업",1
TEST_438,"다음 중 금융시장의 주요 기능에 해당하지 않는 것은?
1 자원의 효율적 배분
2 유동성 제공
3 소비자 효용 증진
4 금융회사의 위험관리 지원",3
TEST_408,"전자서명법 제22조에 따른 분쟁 조정의 주체로 올바른 것은?
1 한국인터넷진흥원
2 과학기술정보통신부
3 금융감독원
4 개인정보보호위원회",1
TEST_141,"정보통신망법 제44조의5에 의거하여 본인 확인 조치를 한 공공기관이 이용자의 명의가 제3자에 의해 부정 사용된 경우, 어떤 책임을 줄이거나 면제받을 수 있는가?
1 손해 배상 책임
2 민사 책임
3 정보보호 관리체계 인증 책임
4 형사 책임
5 행정 책임",1
