ID,Question,정답
TEST_322,"다음 중 금융감독원의 역할로 옳지 않은 것은?
1 금융기관에 대한 검사·감독 업무 수행
2 금융관련 주요 사항 심의 및 의결
3 국제협력 및 교류
4 금융소비자의 권익 보호",2
TEST_331,"거래 보안기술 중 이용자 입력데이터 보호를 위한 방법으로 가장 적절한 것은?
1 전자금융기반시설 취약점 분석
2 OSS 취약점 관리
3 외주 보안관리
4 캡처 방지 프로그램 사용",4
TEST_492,"금융투자업의 종류로 올바르게 나열된 것은?
1 투자매매업, 보험업, 대출업, 자산관리업, 투자일임업, 투자자문업
2 투자중개업, 집합투자업, 신탁업, 대출업, 보험업, 자산관리업
3 투자매매업, 투자중개업, 신탁업, 보험업, 대출업, 자산관리업
4 투자매매업, 투자중개업, 집합투자업, 신탁업, 자산운용업, 금융자문업
5 투자매매업, 투자중개업, 집합투자업, 신탁업, 투자일임업, 투자자문업",5
TEST_264,"다음 중 저축은행의 건전한 발전을 도모하기 위해 설립된 기관은 무엇인가?
1 저축은행중앙회
2 한국자산관리공사
3 금융보안원
4 한국투자공사
5 서민금융진흥원",1
TEST_010,"다음 중 SPF(Sender Policy Framework)에 대한 설명으로 옳은 것은?
1 SPF는 이메일 발신자의 도메인 인증 방식을 제공한다.
2 SPF는 메일 클라이언트에서만 작동한다.
3 SPF는 스팸 메일을 필터링하지 않는다.
4 SMTP 서버에서 발신자의 사실 여부를 확인하지 않는다.",1
TEST_116,"전자금융거래 보안에서 보안관리 통제의 주요 목적은 무엇인가?
1 전자금융시스템의 보안취약점 노출 방지
2 전자금융거래의 비용 절감
3 전자금융서비스의 사용자 편의성 증대
4 전자금융거래의 속도 향상",1
TEST_104,"다음 중 '네트워크 공격'에 대한 설명으로 가장 적절하지 않은 것은?
1 네트워크 공격은 항상 물리적 접근을 필요로 한다.
2 네트워크 공격은 오직 내부 직원에 의해서만 발생할 수 있다.
3 해킹을 통해 금융 정보에 접근할 수 있다.
4 악성코드를 통해 PC에 침투할 수 있다.
5 디도스 공격을 통해 시스템을 마비시킬 수 있다.",1
TEST_375,"과학기술정보통신부장관이 전자서명 관련 업무를 위탁할 수 있는 기관은?
1 한국인터넷진흥원
2 한국데이터진흥원
3 한국정보보호진흥원
4 한국전자통신연구원",1
TEST_293,"정보통신망법 제44조의7에 따르면, 정보통신망을 통해 유통이 금지된 정보에 해당하지 않는 것은?
1 악성코드 유포를 목적으로 제작된 파일을 전송하는 정보
2 정당한 사유 없이 정보통신시스템을 변경하는 정보
3 공공의 이익을 위한 정보 공개
4 타인의 명예를 훼손하는 사실이나 거짓의 사실을 드러내는 정보
5 음란한 부호, 문언, 음향, 화상 또는 영상을 배포하는 정보",3
TEST_384,"다음 중 데이터베이스 보안에서 접근 관리의 주요 취약점으로 올바른 것은?
1 데이터베이스의 암호화 알고리즘을 강화하지 않음
2 데이터베이스의 백업을 주기적으로 수행하지 않음
3 데이터베이스의 기본 계정 패스워드를 변경하지 않음
4 원격에서 데이터베이스 서버로의 접속을 제한하지 않음",3
TEST_214,"보호대책 요구사항'에 따라 정보보호 최고책임자가 수행해야 할 업무로 옳지 않은 것은?
1 정보보호 최고책임자의 임명은 외부 기관에 의해 결정된다.
2 정보보호 계획의 수립·시행 및 개선
3 정보보호 실태와 관행의 정기적인 감사 및 개선
4 정보보호 위험의 식별 평가 및 정보보호 대책 마련
5 정보보호 최고책임자는 정보보호 정책 위반 시 직접 징계 권한을 단독으로 행사한다.",1
TEST_207,"개인정보보호법 제74조의2에 따르면, 제70조부터 제73조까지의 죄를 지은 자가 해당 위반행위와 관련하여 취득한 금품이나 이익에 대해 취할 수 있는 조치는 무엇인가?
1 사회봉사 명령
2 몰수 또는 추징
3 벌금 부과
4 징역형 선고
5 금융기관에 대한 영업정지 처분",2
TEST_512,"하이브리드 위협에 대한 설명으로 가장 적절한 것은?
1 사이버 공간에서만 발생하는 위협
2 단일 채널을 통해 발생하는 위협
3 온·오프라인 연계를 통해 다양한 채널을 이용하는 위협
4 물리적 영역에서만 발생하는 위협",3
TEST_419,"다음 중 금융위원회가 신용정보회사의 허가 또는 인가를 취소할 수 있는 경우에 해당하지 않는 것은?
1 신용정보를 처리하는 전산시스템의 정기 점검을 실시하지 않은 경우
2 거짓이나 부정한 방법으로 허가를 받은 경우
3 금융기관 등의 출자요건을 위반한 경우
4 신용정보를 분실하거나 유출한 경우
5 허가받은 영업을 1년 이상 하지 않은 경우",1
TEST_398,"디지털지갑의 보안 위협으로 가장 우려되는 사항은?
1 광고 노출 증가
2 결제 오류
3 인증서 탈취
4 데이터 백업 실패
5 암호화 알고리즘의 업데이트 지연",3
TEST_107,"외부자 현황 관리에서 외부자 보안 이행 관리의 주요 목적은 무엇인가?
1 외부자의 계약 조건 변경
2 외부자의 보안 요구사항 준수 여부 확인
3 외부자의 보안 위반 시 조치 강화
4 외부자의 접근 권한 확대
5 외부자의 업무 효율성 증대",2
TEST_142,"전자서명인증사업자가 전자문서의 시점을 확인할 때 필요한 조건은?
1 전자문서의 내용 확인
2 전자문서의 발송자 확인
3 가입자 또는 이용자의 요청
4 전자문서의 수신자 확인",3
TEST_181,"전자서명법 제16조에 의거하여, 전자서명인증사업자에 대한 검사를 수행하는 공무원이 반드시 보여주어야 하는 것은?
1 검사 계획서
2 출입 허가서
3 권한 증표
4 검사 결과 보고서",3
TEST_210,"로그 분석을 통해 네트워크 보안 위협을 식별할 때 가장 중요한 요소는 무엇인가?
1 로그 파일의 저장 위치
2 로그 파일의 생성 주기
3 로그 파일의 내용 분석
4 로그 파일의 암호화 여부
5 로그 파일의 크기",3
TEST_257,"개인신용평가회사 및 그 임직원이 개인신용평가 업무를 수행할 때 고려해야 할 사항으로 옳지 않은 것은?
1 개인신용평가 과정의 투명성
2 개인신용평가 결과의 신속성
3 개인신용평가 결과의 정확성과 평가체계의 공정성
4 개인신용평가 결과의 영구적 보관
5 개인신용평가 과정의 공개성",4
TEST_092,"전자화폐를 발행하는 금융회사 또는 전자금융업자가 전자화폐를 발행할 때 반드시 해야 할 조치로 옳은 것은?
1 전자화폐 발행 시 이용자의 본인확인 절차는 생략할 수 있다.
2 전자화폐의 발행 및 교환의 방법과 절차는 금융회사가 자율적으로 정한다.
3 전자화폐의 발행 시 식별번호를 부여하고 실지명의 또는 예금계좌와 연결하여 관리해야 한다.
4 전자화폐의 발행 시 현금과 동일한 가치로 교환할 필요는 없다.
5 전자화폐 보유자의 요청에 따라 전자화폐를 현금으로 교환할 의무는 없다.",3
TEST_484,"디지털 서명의 보안 요구 조건으로 가장 적절한 것은?
1 익명성
2 무결성
3 가용성
4 비밀성",2
TEST_355,"주민등록전산정보자료 요청 시 필요한 절차로 옳은 것은?
1 금융감독원의 승인을 받아야 한다.
2 국회의 심사
3 대통령령에 따른 심사
4 금융위원회위원장의 심사
5 행정안전부장관의 심사",5
TEST_186,"접근통제와 암호화에 대한 설명으로 가장 적절한 것은?
1 접근통제는 데이터 전송 시 암호화를 통해 보안을 강화한다.
2 암호화는 시스템 자원의 접근 권한을 실시간으로 부여하는 과정이다.
3 암호화는 비인가자의 자원 접근을 차단하는 기술이다.
4 접근통제는 자원에 대한 비인가 접근을 감시하고 승인 여부를 결정한다.
5 암호화는 사용자의 접근 요구를 기록하고 분석하는 기술이다.",4
TEST_143,"개인신용평점 하락 가능성에 대한 설명의무와 관련하여, 다음 중 대통령령으로 정하는 사항에 해당하지 않는 것은?
1 평균적으로 연체율이 높은 금융권역의 신용공여가 은행 등 다른 금융권역의 신용공여보다 신용점수가 더 큰 폭으로 하락할 수 있다는 사실
2 개인신용평점 하락 시 금융기관의 대출 금리가 인상될 수 있다는 사실
3 개인신용평점 하락 시 불이익 발생 가능성이 있는 금융거래 종류
4 평균적으로 연체율이 높은 형태의 신용공여가 일반적인 신용공여보다 신용점수가 더 큰 폭으로 하락할 수 있다는 사실",2
TEST_154,"정보시스템 도입 및 개발 보안에서 운영환경 이관 시 고려해야 할 사항으로 가장 적절한 것은?
1 운영환경 이관 시 사용자 계정 관리
2 운영환경 이관 시 데이터 백업
3 운영환경 이관 시 보안 요구사항 재정의
4 운영환경과 시험환경의 물리적 분리",3
TEST_373,"DNS 보안 취약점 중 ""파밍(pharming)"" 공격에 대한 설명으로 옳은 것은?
1 DNS 서버를 직접 해킹하여 데이터를 삭제하는 공격
2 DNS 서버의 IP 주소를 변경하여 사용자를 가짜 사이트로 유도하는 공격
3 DNS 캐시 데이터를 위조하여 사용자를 가짜 사이트로 유도하는 공격
4 DNS 서버의 트래픽을 차단하여 서비스 거부를 유발하는 공격",3
TEST_500,"통신과금서비스이용자의 이익을 현저하게 저해하는 자에 대해 과학기술정보통신부장관이 취할 수 있는 조치는?
1 서비스 요금 인상
2 서비스 제공 거부
3 서비스 홍보 강화
4 서비스 품질 개선",2
TEST_129,"정보보호 취약점 신고자에 대한 포상금 지급 기준에 포함되지 않는 것은?
1 신고자의 나이
2 침해사고의 범위
3 취약점의 악용 용이성
4 침해사고의 정도",1
TEST_140,"전자서명법 제26조에 따르면, 제13조 제1항을 위반하여 운영기준 준수사실을 표시한 자에게 부과되는 과태료의 최대 금액은 얼마인가?
1 500만원
2 1,000만원
3 250만원
4 350만원",2
TEST_036,"신용정보회사, 본인신용정보관리회사 및 채권추심회사가 사업의 전부 또는 일부를 양도ㆍ양수하거나 합병하려는 경우 필요한 절차는?
1 국회의 동의를 받아야 한다.
2 금융감독원의 사전 심의를 받아야 한다.
3 법무부의 승인을 받아야 한다.
4 대통령의 허가를 받아야 한다.
5 금융위원회의 인가를 받아야 한다.",5
TEST_443,"개인신용정보의 전송요구에 관한 신용정보법 제33조의2에 따르면, 신용정보제공ㆍ이용자가 전송요구를 받은 경우, 전송해야 하는 정보의 조건이 아닌 것은?
1 신용정보주체가 제공한 정보
2 신용정보주체와의 권리ㆍ의무 관계에서 생성된 정보
3 신용정보제공ㆍ이용자가 별도로 생성한 정보
4 신용정보주체로부터 수집한 정보",3
TEST_068,"응용프로그램 접근'에 대한 보호대책으로 적절한 것은?
1 응용프로그램의 성능 및 장애관리
2 응용프로그램의 소스코드 보안
3 응용프로그램의 로그 및 접속기록 관리
4 응용프로그램의 접근 권한 관리",4
TEST_148,"다음 중 전자화폐의 양도성에 대한 설명으로 옳지 않은 것은?
1 전자화폐는 발행자와의 약정에 따라 타인에게 양도할 수 있다.
2 전자화폐의 양도는 반드시 실명확인 절차를 거쳐야만 인정된다.
3 양도 시 발행자의 중앙전산시스템을 경유해야 한다.
4 전자화폐는 담보로 제공할 수 없다.
5 실지명의가 확인되지 않는 경우에도 양도할 수 있다.",2
TEST_135,"중앙행정기관의 장이 매년 개인정보 보호를 위한 시행계획을 작성하여 제출해야 하는 기관은 어디인가?
1 중앙선거관리위원회
2 보호위원회
3 국회
4 헌법재판소",2
TEST_076,"다음 중 신용정보회사 임원의 겸직 금지와 관련된 설명으로 옳은 것은?
1 임원은 금융위원회의 승인 없이 채권추심 업무를 수행할 수 있다.
2 임원은 금융위원회의 승인 없이 다른 비영리법인의 상무에 종사할 수 있다.
3 임원은 금융위원회의 승인 없이 다른 영리법인의 상무에 종사할 수 있다.
4 임원은 금융위원회의 승인 없이 계열 신용정보회사 이사로 겸직할 수 있다.
5 임원은 금융위원회의 승인 없이 신용정보를 제공할 수 있다.",2
TEST_306,"정보보호 관리등급의 취소 사유로 옳지 않은 것은?
1 등급 부여 후 홍보에 활용하지 않은 경우
2 정보보호 관리체계 인증을 받지 않은 경우
3 거짓이나 부정한 방법으로 등급을 받은 경우
4 등급기준에 미달하게 된 경우",1
TEST_125,"전자지급수단의 발행권면 최고한도가 300만원인 경우는?
1 외국인관광객이 국내에서 사용하기 위해 발행하는 경우
2 실지명의로 발행하는 경우
3 전자자금이체의 이용한도
4 재난에 대응하여 국가가 지원금을 지급하기 위해 발행하는 경우",1
TEST_303,"TCP와 UDP의 차이점으로 옳지 않은 것은?
1 TCP와 UDP 모두 데이터 무결성을 보장하는 암호화 기능을 기본적으로 제공한다.
2 UDP는 비연결형 프로토콜이다.
3 TCP는 연결 지향형 프로토콜이다.
4 UDP는 데이터 전송의 순서를 보장한다.
5 TCP는 데이터 전송의 신뢰성을 보장한다.",1
TEST_088,"개인신용정보 제공 동의 철회권에 대한 설명으로 옳은 것은?
1 동의를 철회하려면 서면으로만 요청해야 한다.
2 개인신용정보주체는 언제든지 동의를 철회할 수 있다.
3 동의를 철회하려면 용역 제공을 받지 않을 의사를 명확히 밝혀야 한다.
4 동의를 철회하면 모든 서비스 제공이 중단된다.",2
TEST_470,"정보통신망 이용촉진 및 정보보호 등에 관한 법률(정보통신망법)의 목적에 해당하는 것은?
1 정보통신서비스 이용자의 권리 제한
2 개인정보 보호법의 적용 면제
3 금융기관의 정보보호 의무를 전적으로 면제
4 정보통신망의 불법 사용 촉진
5 정보통신망의 안전한 이용 환경 조성",5
TEST_489,"자율보안체계로의 전환을 추진하는 이유로 가장 적절한 것은?
1 보안 위협 탐지를 전적으로 외부 기관에 위임하기 위해
2 보안 규제를 세세한 열거식 규정으로 유지하기 위해
3 금융회사의 보안 거버넌스를 강화하기 위해
4 보안사고를 100% 예방하기 위해
5 금융보안 책임성을 이사회에만 부여하기 위해",3
TEST_472,"공개서버 보안에 대한 설명으로 옳은 것은?
1 공개서버는 주기적으로 보안 패치를 적용해야 한다.
2 공개서버는 암호화가 필요하지 않다.
3 공개서버는 모든 사용자에게 관리자 권한을 부여해야 한다.
4 공개서버는 외부 접근이 불가능하도록 설정해야 한다.",1
TEST_096,"전자화폐의 발행 및 관리업무의 허가를 받기 위해 필요한 자본금 요건으로 옳은 것은?
1 30억원 이상
2 50억원 이상
3 20억원 이상
4 10억원 이상",2
TEST_043,"전자금융거래법 제2조에 따르면, 전자금융업자가 제공하는 서비스에 해당하는 것은 무엇인가?
1 계좌 개설
2 대출 상담
3 신용카드 발급 신청
4 온라인 송금
5 보험 가입",4
TEST_034,"어플리케이션 개발 보안에서 사용되는 정적 분석 도구의 주요 목적은 무엇인가?
1 코드의 보안 취약점을 사전에 식별한다.
2 네트워크 트래픽을 모니터링한다.
3 사용자 인터페이스의 디자인을 개선한다.
4 런타임 시 발생하는 오류를 탐지한다.",1
TEST_040,"소스코드 개발 보안(Secure Coding)에서 권장되는 방법으로 적절하지 않은 것은?
1 에러 메시지에 시스템 정보를 포함시킨다.
2 민감한 데이터는 암호화하여 저장한다.
3 외부 라이브러리의 보안 업데이트를 주기적으로 확인한다.
4 입력값의 유효성을 철저히 검증한다.",1
TEST_099,"전자서명인증사업자가 인증업무준칙을 작성하여 게시해야 하는 이유로 가장 적절한 것은?
1 인증서 유통 경로의 다양성 확보
2 전자서명 기술의 발전 촉진
3 고객의 개인정보 보호 강화
4 인증서 발급 비용 절감
5 전자서명인증서비스의 신뢰성 확보",5
TEST_158,"금융 감독기관의 주요 기능으로 옳지 않은 것은?
1 금융기관의 설립 인가
2 금융소비자 보호
3 금융기관의 자산 운용 대행
4 금융상품의 직접 판매
5 금융기관의 검사 및 감독",3
TEST_376,"정보보호 위험관리에서 '위험의 개념'에 대한 설명으로 가장 적절한 것은?
1 위험은 특정 부서에서만 관리하면 된다.
2 위험은 전사적 리스크로 확대될 수 있다.
3 위험은 항상 피할 수 있는 요소이다.
4 위험은 발생하지 않을 때만 관리가 필요하다.",2
TEST_412,"이상금융거래 방지대책으로 가장 적절한 것은?
1 모든 거래를 자동 승인
2 거래 내역을 전혀 기록하지 않음
3 의심되는 전자금융거래 모니터링 및 차단
4 모든 거래를 동일한 보안 수준으로 처리",3
TEST_496,"책임감 있는 AI(Responsible AI)의 구현을 위해 금융권에서 고려해야 할 요소로 가장 적절한 것은?
1 AI의 비용 절감
2 AI의 신뢰성 및 투명성 확보
3 AI의 빠른 개발 속도
4 AI의 사용자 편의성 향상",2
TEST_074,"전자금융거래법 제24조에 따르면, 금융회사 또는 전자금융업자가 약관을 변경할 때, 변경된 약관의 시행일 몇 달 전에 이를 게시하고 이용자에게 알려야 하는가?
1 6개월
2 1개월
3 2개월
4 3개월",2
TEST_305,"다음 중 금융업무의 이해에 대한 설명으로 가장 적절한 것은?
1 금융회사는 단일 상품만을 제공한다.
2 금융회사는 모든 금융거래에서 고객 인증 절차를 생략할 수 있다.
3 금융회사는 투자 상품만을 취급한다.
4 금융회사는 국내 금융 감독기관의 감독을 받지 않는다.
5 금융회사는 다양한 상품을 결합하여 제공할 수 있다.",5
TEST_081,"종합신용정보집중기관의 주요 업무로 옳지 않은 것은 무엇인가?
1 개인신용평가회사의 신용정보 제공 의무 이행 실태 조사
2 신용정보공동전산망의 구축 및 유지 관리
3 공공기관으로부터 수집한 신용정보의 집중관리 및 활용
4 금융기관 전체로부터의 신용정보 집중관리 및 활용",1
TEST_483,"신용정보 보호를 위한 관리적 보안대책에 해당하지 않는 것은?
1 보안 정책 수립
2 접근 권한 관리
3 데이터 암호화
4 네트워크 침입 탐지 시스템 구축
5 개인정보 보호 교육 실시",3
TEST_503,"전자서명법 제22조에 따른 분쟁 조정 절차에 대한 설명으로 올바른 것은?
1 분쟁 조정은 한국인터넷진흥원의 조정위원회를 통해 이루어진다.
2 분쟁 조정은 과학기술정보통신부의 명령에 의해 이루어진다.
3 분쟁 조정은 법원의 판결을 통해 이루어진다.
4 분쟁 조정은 당사자 간의 합의로만 이루어진다.",1
TEST_505,"OSS(오픈소스 소프트웨어)의 보안 취약점 중 기업에서 사용하는 소프트웨어가 동일한 취약점을 가지게 되는 문제를 무엇이라 하는가?
1 취약점 복제
2 취약점 누적
3 취약점 상속
4 취약점 전파",3
TEST_409,"전자서명인증 정책의 지원을 위해 한국인터넷진흥원이 수행하는 업무에 해당하는 것은?
1 전자서명인증서의 폐기
2 전자서명인증서의 재발급
3 전자서명인증서의 유효성 검증
4 전자서명인증 관련 표준화 연구",4
TEST_425,"다음 중 개인정보보호법 '제46조 조정 전 합의 권고'에 대한 설명으로 가장 적절한 것은?
1 분쟁조정위원회는 조정 전 합의를 무시할 수 있다.
2 분쟁조정위원회는 조정 전 합의를 강제할 수 있다.
3 분쟁조정위원회는 조정 전 합의를 권고할 수 없다.
4 분쟁조정위원회는 조정 전 합의를 권고할 수 있다.",4
TEST_219,"다음 중 신용정보회사등이 신용정보법 제40조에 따라 금지되지 않은 행위는?
1 정보원, 탐정 등의 명칭을 사용하는 행위
2 영리 목적으로 가명정보를 처리하는 행위
3 채권추심회사가 업무를 위해 특정인의 소재를 알아내는 행위
4 특정인의 소재 및 연락처를 알아내는 행위",3
TEST_117,"전자채권의 양도가 「민법」 제450조제1항의 규정에 따른 대항요건을 갖추기 위해 필요한 조건으로 옳은 것은?
1 양도인의 채권양도의 통지 또는 채무자의 승낙이 구두로 이루어질 것
2 양도인의 채권양도의 통지 또는 채무자의 승낙이 이메일로 이루어질 것
3 양도인의 채권양도의 통지 또는 채무자의 승낙이 인증서 없이 전자문서로 이루어질 것
4 양도인의 채권양도의 통지 또는 채무자의 승낙이 서면으로 이루어질 것
5 양도인의 채권양도의 통지 또는 채무자의 승낙이 전자서명된 전자문서로 이루어질 것",5
TEST_063,"개인사업자신용평가회사의 내부통제기준에 포함되어야 할 사항으로 옳은 것은?
1 불공정행위의 허용
2 평가조직과 영업조직의 통합
3 내부감사 기능의 생략
4 개인사업자의 특성에 맞지 않는 평가기준
5 이해상충 방지",5
TEST_173,"개인정보보호법 제74조의2에 의거하여, 몰수할 수 없는 경우에 취할 수 있는 조치는 무엇인가?
1 해당 금품을 신탁기관에 위탁
2 해당 금품을 반환
3 해당 금품의 가액을 추징
4 해당 금품을 기부
5 해당 금품을 보관",3
TEST_428,"개인정보보호법 제12조에 따르면, 개인정보 보호위원회가 개인정보처리자에게 권장할 수 있는 것은 무엇인가?
1 개인정보 보호지침의 준수
2 개인정보의 수집 및 이용 목적
3 개인정보의 파기 방법
4 개인정보의 제3자 제공 절차
5 개인정보 유출 시 손해배상 청구 절차",1
TEST_087,"평가기관이 전자서명인증사업자로부터 평가를 신청받은 경우, 평가를 마쳐야 하는 기간은?
1 365일 이내
2 180일 이내
3 120일 이내
4 240일 이내
5 90일 이내",2
TEST_464,"다음 중 Web/App 공격 유형에 해당하지 않는 것은 무엇인가?
1 데이터 백업
2 Buffer Overflow
3 SQL Injection
4 Cross-Site Scripting (XSS)",1
TEST_343,"평가기관의 선정 기준에 해당하지 않는 것은?
1 평가 업무의 독립성, 객관성, 공정성을 확보할 수 있을 것
2 정보보호관리체계(ISMS) 인증을 반드시 보유하고 있을 것
3 법인일 것
4 전문인력을 3명 이상 상시 고용하고 있을 것
5 최근 2년 이내에 평가기관 선정이 취소된 사실이 없을 것",2
TEST_013,"다음 중 전자금융거래법 제6조의3에 따라 계좌정보의 사용 및 관리에 대한 설명으로 옳은 것은?
1 계좌정보는 범죄에 이용될 가능성이 있어도 제공할 수 있다.
2 계좌정보는 범죄에 이용될 것을 알면서도 보관할 수 있다.
3 계좌정보는 범죄에 이용될 가능성이 있어도 유통할 수 있다.
4 계좌정보는 범죄에 이용될 목적으로 제공받아서는 안 된다.
5 계좌정보는 정당한 사유 없이 제3자에게 양도할 수 있다.",4
TEST_313,"하이브리드 위협의 대응 전략으로 가장 적절한 것은?
1 보안 사고 발생 시 사후 대응만 집중
2 단일 기관의 독립적인 대응
3 물리적 보안 강화만으로 충분
4 국가 간 및 민·관 협력의 중요성 강조
5 전통적인 보안 기법만 사용",4
